city,profession,salary,company
上海,python（兼职讲师）开发,30,自兴信息
上海,python量化工程师助理,5,上海同梁智能科技
上海,Python开发工程师,10,天玑科技
上海,高级python开发工程师,20,硅信智能
上海,python高级爬虫工程师,7,睿翎法律
上海,python后端工程师,6,担路网
上海,Python后段开发工程师,15,墨沙网络
上海,Python数据分析,6,上海同梁智能科技
上海,Python高级开发工程师,15,壹沓科技
上海,高级研发工程师（Python或Go),20,有个机器人
上海,资深Python开发工程师,25,进馨科技(纳米盒)
上海,中级python运维工程师,14,桑田智能
上海,Python开发工程师,15,达观数据
上海,Python高级开发工程师,18,亿可能源
上海,Python高级开发工程师,15,上海华景汽车服务
上海,Python 自然语言处理,10,壹沓科技
上海,Python课程研发,8,傲梦网络科技
上海,Python后台开发,8,众标科技
上海,python教师,6,若博若博教育
上海,Python开发工程师,10,信易信息科技
上海,高级Python研发工程师,15,公安部第三研究所
上海,python工程师（服务器）,12,上海小莫
上海,Python工程师,15,国民健康科技
上海,Python 开发工程师- Data Engineer,15,hileap
上海,Python工程师,15,思华科技
上海,Python开发工程师,6,上海融为
上海,数据开发工程师（python爬虫）,5,创业伞
上海,Python开发工程师,10,合墨数据
上海,python高级开发工程师,10,牛咖
上海,高级Python工程师,15,互道信息
上海,PYTHON 数据算法架构师,18,贯信
上海,Python开发工程师,8,犀语科技
上海,python课程顾问,8,若博若博教育
上海,高级Python开发工程师,15,犇众信息
上海,Python图像处理研发工程师,15,versa
上海,python 实习生 兼职,200,瓦尔机器人
上海,python开发工程师,12,天玑科技
上海,Python开发工程师,12,犇众信息
上海,python开发工程师(算法),12,百联科创
上海,Python开发工程师,13,居客酒店投资管理
上海,存储系统开发工程师 python,9,天玑科技
上海,python课程研发员,8,傲梦网络科技
上海,Python开发工程师（游戏服务器）,15,智品行空
上海,Python网络爬虫开发实习生,4,上海数旦
上海,Python开发高级工程师,20,上海数旦
上海,Python开发工程师,20,物融智能
上海,Python课程设计,10,妙小程
上海,Python开发工程师（金融交易系统开发）,6,桥之队
上海,Python、Golang (GO语言）开发工程师,15,智品行空
上海,Python,14,深兰科技
上海,Python,15,歌斐资产
上海,python服务器高级研发工程师,11,美天顺达
上海,python后端工程师,10,速嵌
上海,Python工程师,8,言通网络科技
上海,Python,4,千际投资
上海,python研发工程师,15,上海源石数据
上海,Python,14,门申
上海,Python工程师,5,添路电子
上海,python开发工程师,5,千际投资
上海,后端开发工程师 Python,14,力扣（leetcode）
上海,网站后端开发工程师(Python),9,数行科技
上海,中级后端工程师(python/odoo）,15,centron
上海,高级后端工程师 Python,20,力扣（leetcode）
上海,Python中级工程师,15,数行科技
上海,网站后端Python开发实习生,3,数行科技
上海,上海Python,13,码博科技
上海,Python,10,顽岩资产
上海,Python,10,杰奕
上海,Python老师,8,鳌睿科技
上海,Python编程教学,5,乐博机器人
上海,Python开发工程师,15,上海潜智
上海,Python 后端开发工程师,12,亿可能源
上海,Python高级软件工程师,12,微传
上海,Python开发工程师,20,水象
上海,Python,18,daocloud
上海,Python开发工程师,20,今日头条
上海,Python数据开发工程师,15,叮诺科技
上海,Python开发工程师（后端）,15,叮诺科技
上海,Python,20,蚂蚁金服
上海,高级Python开发工程师(后端),15,叮诺科技
上海,Python工程师,15,游族网络
上海,Python开发实习生,5,图趣科技
上海,Python高级开发工程师,15,帛钥智能
上海,Python后端开发工程师,15,沪江
上海,Python实习生,3,中畅数据
上海,Python讲师,10,北风网
上海,python开发工程师,11,千熠
上海,Python开发,15,亿可能源
上海,Python工程师,20,上海展湾信息科技
上海,高级Python工程师,25,亿可能源
上海,Python数据分析及可视化,9,中畅数据
上海,Python高级开发工程师,15,亿可能源
上海,Python软件工程师,12,中派科技
上海,Python开发工程师,13,learning tribes
上海,python开发工程师,10,控福智能
上海,高级Python工程师,13,熠道大数据
上海,Python,10,	锻链科技
上海,Python,15,duetin
上海,python开发工程师,12,上海谨瀛
上海,Python开发工程师,6,新黑砾投资管理
上海,Python,10,环思智慧
上海,Python,15,斗象科技
上海,Python开发工程师,20,小红书
上海,Python研发工程师,8,店达商城
上海,Python开发工程师,14,上海天旦
上海,Java/Python高级软件工程师,20,小红书
上海,Python开发工程师,10,琻瑢信息
上海,Python,10,火寒vr
上海,Python开发工程师,15,炫踪
上海,python/C++开发工程师,14,ankobot
上海,Python工程师,15,拾米科技
上海,软件工程师（Python开发）,15,公寓家
上海,Python开发工程师,7,小慧科技
上海,Python程序员,5,上海念露
上海,python工程师,5,斯睿德
上海,Python运维工程师,15,桑田智能
上海,Python开发工程师,12,小派vr
上海,Python讲师,8,神州视创
上海,Python 开发工程师,13,爵特信息
上海,Python后端高级工程师,9,无忧云车
上海,Python培训讲师,10,神州视创
上海,Python后端工程师,12,real way itc
上海,Python讲师,18,慧谷
上海,Python讲师,7,日晓企业管理咨询
上海,Django/ Python/ Backend Engineer,20,耘智信息科技
上海,[实习]知名区块链NEO招聘Python Intern,4,neo
上海,Python,11,日晓企业管理咨询
上海,Python,15,神州视创
上海,Python,12,斯干
上海,Python,15,研靖信息科技有限公司
上海,Python,10,天牧信息
上海,Python工程师,15,上海人科
上海,风控研发工程师（Python）,10,拍拍贷
上海,持续发布产品开发P6/7/8(Java或Python方向),25,蚂蚁金服
上海,Python开发工程师,18,鸿臣互动
上海,Python,20,华云数据
上海,Python工程师,10,烯牛数据
上海,Python,6,用实
上海,资深 python 工程师,15,金车crm
上海,python后端工程师(数据),15,牛咖
上海,python高级爬虫工程师,10,金车crm
上海,Python,7,佶市文化传播
上海,Python,10,标指
上海,Python,15,蚂蚁金服
上海,Python工程师,9,上海美浮特
上海,Python开发工程师,6,沃帆虚拟化
上海,Python工程师,14,上海辰沅金融
上海,Python,5,宽策略
上海,Python,8,鳌檀投资
上海,Python开发工程师,6,浪潮集团
上海,python工程师,15,新达达
上海,Python编程老师,4,若博若博教育
上海,python开发工程师,15,链极科技
上海,Python,2,上海田获
上海,Python,15,蝶祈传媒
上海,Python开发工程师,8,浪潮云erp
上海,Python量化实习生,4,宽策略
上海,Python,10,九雅堂食品有限公司
上海,金融工程研究员(python),5,宽策略
上海,"C++,python工程师",15,上海佰阔
上海,Java/Python/Hadoop高级软件研发工程师,15,数策股份
上海,Python,10,牛咖
上海,Python,10,牛咖
上海,青少儿编程教研（NOIP/C++/JAVA/Python）,8,至慧学堂
上海,C++讲师\Python讲师\Scratch讲师,8,小码教育
上海,Python讲师/C++讲师/Scratch讲师,8,小码教育
上海,Python,5,上海想悦科技有限公司
上海,Python,15,神眼二郎信息科技
广州,Python,3,勤加缘
广州,Python工程师,10,紫晶信息存储
广州,资深Python爬虫工程师,25,fordeal
广州,Python爬虫研发工程师,9,广州多益网络
广州,python服务端开发工程师,15,网易游戏
广州,python讲师,10,深圳市领讯云智能
广州,Python 工程师,8,康云
广州,Python开发工程师,15,网易游戏
广州,python开发工程师,10,多益网络
广州,Python开发工程师,10,多益网络
广州,Python开发工程师,20,网易游戏
广州,Python工程师,12,嘉为科技
广州,Python开发工程师(高级),15,9377游戏
广州,Python开发工程师,12,浩鲸科技
广州,python中级工程师,10,云润大数据
广州,python开发,15,广州泉涌
广州,python开发,9,要出发周边游
广州,python,12,大世科技
广州,Python WEB工程师,4,优德
广州,Python开发,2,不明觉厉
广州,Python实习生,3,广州易软
广州,Python Web 工程师,7,爱范儿
广州,Python开发,8,创梦空间
广州,Python,7,富融
广州,Python开发工程师,15,广州潮汐信息
广州,python网页后端,8,大世科技
广州,python服务器开发工程师,15,网易游戏
广州,Python高级开发工程师,15,aam中国
广州,Python Web 开发工程师,8,菜鸟窝
广州,Python,9,齐乐乐
广州,讲师（Python/c++）,10,小码教育
广州,Python电商程序员,6,古特贸易
广州,python工程师,8,赛耀网络
广州,Python机器学习工程师,12,佰锐科技
广州,Python网页后端,10,大世科技
广州,Python工程师,5,优德
广州,Python开发工程师(高级),15,9377游戏
广州,python工程师,6,宏泰环保
广州,python（兼职讲师）开发,30,自兴信息
广州,Python实习生,1,广州潮汐信息
广州,Python后端开发工程师,14,烹茶科技
广州,Python,8,赛耀网络
广州,Python开发工程师,6,云润大数据
广州,后端工程师（Python方向）,16,有米科技
广州,python爬虫开发工程师,10,球讯科技
广州,Python人工智能讲师,10,粤嵌小创客
广州,云平台Python高级工程师,15,紫晶信息存储
广州,初级Python后端开发工程师,8,烹茶科技
广州,Python高级开发工程师,10,广州诚益
广州,Python讲师（五险一金+奖金）,10,粤嵌小创客
广州,Python大数据开发工程师,12,广州百伦
广州,少儿编程（python）讲师,4,乐博乐博机器人
广州,少儿编程教师（Python）,8,编程猫
广州,Python爬虫工程师,15,fordeal
广州,python运维开发工程师,10,智建云
广州,Python,6,黄橘子科技
广州,Python高级开发工程师,10,广东傲智
广州,Python开发工程师（业务方向）,8,省省回头车
广州,python开发工程师（运维）,15,云鲸智能
广州,高级Python工程师,17,拼吧科技
广州,Python django后端工程师,6,立云科技
广州,Python,15,奥买家
广州,Python高级开发工程师,18,广农数链信息科技
广州,资深python爬虫工程师,20,fordeal
广州,python开发工程师,11,网易游戏
广州,python后端开发工程师,9,识途
广州,python讲师,5,初越
广州,软件开发python,4,北极环
广州,Python开发工程师,10,v大夫
广州,Python,6,广州诚益
广州,Python,7,富融
广州,Python开发工程师,6,美亚商旅集团
广州,python工程师,4,斐醍科技
广州,Python,8,纵梦
广州,Python,12,广州力为
广州,兼职Python讲师--视频录制讲师,12,亮鱼教育
广州,python讲师,15,广州尚学堂
广州,Python开发工程师,12,网易游戏
广州,Python开发工程师,10,云房数据
广州,Python开发工程师,10,云房数据
广州,Python网页后端,6,广州大世
广州,Python爬虫工程师,15,fordeal
广州,服务器端研发工程师（python）,12,智建云
广州,python后台开发工程师,10,智建云
广州,web开发工程师（PHP/python/java）,12,智建云
广州,python 开发工程师,6,belbi
广州,Python开发工程师,6,惠州塑米
广州,Python程序员,6,中粤电力
广州,Python开发工程师,6,辉耀互娱
